1:65000-70000	OR4F5
4:73835000-73840000	CXCL6
4:73850000-73855000	PF4V1
4:73865000-73870000	CXCL1
4:73980000-73985000	PF4
4:73985000-73990000	PPBP
4:73995000-74000000	CXCL5
4:74035000-74040000	CXCL3
4:74095000-74100000	CXCL2
4:74110000-74115000	MTHFD2L
4:74305000-74310000	EPGN
4:74365000-74370000	EREG
4:74445000-74450000	AREG
4:74790000-74795000	BTC
4:74930000-74935000	PARM1
4:75510000-75515000	RCHY1
4:75510000-75515000	THAP6
4:75555000-75560000	ODAPH
4:75630000-75635000	CDKL2
4:75720000-75725000	G3BP2
4:75720000-75725000	USO1
4:75900000-75905000	PPEF2
4:75940000-75945000	NAAA
4:75990000-75995000	SDAD1
4:76005000-76010000	CXCL9
4:76010000-76015000	ART3
4:76020000-76025000	CXCL10
4:76040000-76045000	CXCL11
4:76145000-76150000	NUP54
4:76210000-76215000	FAM47E
4:76230000-76235000	SCARB2
4:76250000-76255000	FAM47E-STBD1
4:76305000-76310000	STBD1
4:76420000-76425000	CCDC158
4:76435000-76440000	SHROOM3
4:76895000-76900000	SOWAHB
4:76945000-76950000	SEPTIN11
4:77075000-77080000	CCNI
4:77155000-77160000	CCNG2
4:77510000-77515000	CXCL13
4:77815000-77820000	CNOT6L
4:77860000-77865000	MRPL1
4:78055000-78060000	FRAS1
4:78550000-78555000	ANXA3
4:78775000-78780000	BMP2K
4:78935000-78940000	PAQR3
4:79325000-79330000	NAA11
4:79405000-79410000	GK2
4:80125000-80130000	ANTXR2
4:80180000-80185000	PRDM8
4:80265000-80270000	FGF5
4:80335000-80340000	CFAP299
4:81030000-81035000	BMP3
4:81215000-81220000	PRKG2
4:82040000-82045000	RASGEF1B
4:82370000-82375000	HNRNPD
4:82430000-82435000	HNRNPDL
4:82430000-82435000	ENOPH1
4:82560000-82565000	TMEM150C
4:82795000-82800000	SCD5
4:82900000-82905000	SEC31A
4:82900000-82905000	THAP9
4:83010000-83015000	LIN54
4:83030000-83035000	COPS4
4:83135000-83140000	PLAC8
4:83280000-83285000	COQ2
4:83335000-83340000	HPSE
4:83455000-83460000	HELQ
4:83455000-83460000	MRPS18C
4:83520000-83525000	ABRAXAS1
4:83535000-83540000	GPAT3
4:84495000-84500000	NKX6-1
4:84580000-84585000	CDS1
4:84965000-84970000	WDFY3
4:85475000-85480000	ARHGAP24
4:86590000-86595000	MAPK10
4:86590000-86595000	PTPN13
4:86845000-86850000	SLC10A6
4:86890000-86895000	C4orf36
4:86935000-86940000	RP11-397E7.6
4:86935000-86940000	AFF1
4:87240000-87245000	KLHL8
4:87320000-87325000	HSD17B13
4:87390000-87395000	HSD17B11
4:87420000-87425000	NUDT9
4:87530000-87535000	SPARCL1
4:87605000-87610000	DSPP
4:87650000-87655000	DMP1
4:87795000-87800000	IBSP
4:87820000-87825000	MEPE
4:87975000-87980000	SPP1
4:88005000-88010000	PKD2
4:88230000-88235000	ABCG2
4:88280000-88285000	PPM1K
4:88375000-88380000	HERC6
4:88455000-88460000	HERC5
4:88520000-88525000	PYURF
4:88520000-88525000	PIGY
4:88520000-88525000	RP11-2I7.1
4:88590000-88595000	HERC3
4:88695000-88700000	NAP1L5
4:89110000-89115000	FAM13A
4:89110000-89115000	TIGD2
4:89305000-89310000	GPRIN3
4:89835000-89840000	SNCA
4:89875000-89880000	MMRN1
4:90125000-90130000	CCSER1
4:92300000-92305000	GRID2
4:93825000-93830000	ATOH1
4:94205000-94210000	SMARCAD1
4:94340000-94345000	HPGDS
4:94450000-94455000	PDLIM5
4:94755000-94760000	BMPR1B
4:95545000-95550000	UNC5C
4:95840000-95845000	PDHA2
4:98140000-98145000	STPG2
4:98260000-98265000	RAP1GDS1
4:98655000-98660000	TSPAN5
4:98925000-98930000	EIF4E
4:98995000-99000000	METAP1
4:99085000-99090000	ADH5
4:99155000-99160000	ADH4
4:99215000-99220000	ADH6
4:99290000-99295000	ADH1A
4:99350000-99355000	ADH1B
4:99350000-99355000	ADH1C
4:99435000-99440000	ADH7
4:99510000-99515000	C4orf17
4:99560000-99565000	TRMT10A
4:99560000-99565000	MTTP
4:99655000-99660000	C4orf54
4:99815000-99820000	DAPP1
4:99890000-99895000	LAMTOR3
4:99945000-99950000	DNAJB14
4:99950000-99955000	H2AZ1
4:100190000-100195000	DDIT4L
4:100880000-100885000	EMCN
4:101345000-101350000	PPP3CA
4:101410000-101415000	BANK1
4:102430000-102435000	SLC39A8
4:102500000-102505000	NFKB1
4:102760000-102765000	MANBA
4:102865000-102870000	UBE2D3
4:102865000-102870000	CISD2
4:103015000-103020000	SLC9B1
4:103085000-103090000	SLC9B2
4:103095000-103100000	BDH2
4:103195000-103200000	CENPE
4:103715000-103720000	TACR3
4:104490000-104495000	CXXC4
4:105145000-105150000	TET2
4:105470000-105475000	PPA2
4:105550000-105555000	ARHGEF38
4:105705000-105710000	GSTCD
4:105890000-105895000	NPNT
4:105895000-105900000	INTS12
4:106315000-106320000	AIMP1
4:106315000-106320000	TBCK
4:106365000-106370000	GIMD1
4:107280000-107285000	DKK2
4:107720000-107725000	PAPSS1
4:107820000-107825000	SGMS2
4:107930000-107935000	CYP2U1
4:107985000-107990000	HADH
4:108165000-108170000	LEF1
4:108620000-108625000	RPL34
4:108650000-108655000	OSTC
4:108760000-108765000	ETNPPL
4:109300000-109305000	COL25A1
4:109430000-109435000	SEC24B
4:109560000-109565000	MCUB
4:109700000-109705000	CASP6
4:109730000-109735000	PLA2G12A
4:109800000-109805000	AC004067.6
4:109800000-109805000	CFI
4:109815000-109820000	GAR1
4:109825000-109830000	RRH
4:109845000-109850000	LRIT3
4:109910000-109915000	EGF
4:110195000-110200000	ELOVL6
4:110365000-110370000	ENPEP
4:110640000-110645000	PITX2
4:112145000-112150000	FAM241A
4:112230000-112235000	AP1AR
4:112285000-112290000	TIFA
4:112285000-112290000	ALPK1
4:112515000-112520000	NEUROG2
4:112635000-112640000	ZGRF1
4:112635000-112640000	LARP7
4:112815000-112820000	ANK2
4:113760000-113765000	CAMK2D
4:113975000-113980000	ARSJ
4:114595000-114600000	UGT8
4:115110000-115115000	NDST4
4:116295000-116300000	MTRNR2L13
4:117085000-117090000	TRAM1L1
4:118030000-118035000	NDST3
4:118350000-118355000	PRSS12
4:118685000-118690000	METTL14
4:118835000-118840000	SEC24D
4:118850000-118855000	SYNPO2
4:119135000-119140000	MYOZ2
4:119210000-119215000	USP53
4:119300000-119305000	C4orf3
4:119320000-119325000	FABP2
4:119625000-119630000	PDE5A
4:120065000-120070000	MAD2L1
4:120920000-120925000	PRDM5
4:121070000-121075000	NDNF
4:121225000-121230000	TNIP3
4:121380000-121385000	QRFPR
4:121695000-121700000	ANXA5
4:121765000-121770000	SMIM43
4:121800000-121805000	EXOSC9
4:121820000-121825000	CCNA2
4:121870000-121875000	BBS7
4:121950000-121955000	TRPC3
4:122150000-122155000	KIAA1109
4:122375000-122380000	ADAD1
4:122455000-122460000	IL2
4:122620000-122625000	IL21
4:122730000-122735000	BBS12
4:122825000-122830000	FGF2
4:122920000-122925000	NUDT6
4:122920000-122925000	SPATA5
4:123395000-123400000	SPRY1
4:124710000-124715000	ANKRD50
4:125310000-125315000	FAT4
4:127620000-127625000	INTU
4:127730000-127735000	SLC25A31
4:127780000-127785000	HSPA4L
4:127880000-127885000	PLK4
4:127965000-127970000	MFSD8
4:127965000-127970000	ABHD18
4:128060000-128065000	LARP1B
4:128285000-128290000	PGRMC2
4:128805000-128810000	JADE1
4:129090000-129095000	SCLT1
4:129090000-129095000	C4orf33
4:133145000-133150000	PCDH10
4:134200000-134205000	PABPC4L
4:137530000-137535000	PCDH18
4:138240000-138245000	SLC7A11
4:139015000-139020000	NOCT
4:139175000-139180000	ELF2
4:139280000-139285000	MGARP
4:139300000-139305000	NDUFC1
4:139300000-139305000	NAA15
4:139450000-139455000	RAB33B
4:139605000-139610000	SETD7
4:139665000-139670000	MGST2
4:140150000-140155000	MAML3
4:140255000-140260000	SCOC
4:140425000-140430000	CLGN
4:140495000-140500000	MGAT4D
4:140520000-140525000	ELMOD2
4:140565000-140570000	UCP1
4:140755000-140760000	TBC1D9
4:141210000-141215000	RNF150
4:141220000-141225000	ZNF330
4:141635000-141640000	IL15
4:142845000-142850000	INPP4B
4:143180000-143185000	USP38
4:143335000-143340000	GAB1
4:143510000-143515000	SMARCA5
4:143700000-143705000	FREM3
4:143905000-143910000	GYPE
4:144015000-144020000	GYPB
4:144140000-144145000	GYPA
4:144645000-144650000	HHIP
4:145095000-145100000	RP11-1289C17.2
4:145095000-145100000	ANAPC10
4:145095000-145100000	ABCE1
4:145180000-145185000	OTUD4
4:145480000-145485000	SMAD1
4:145595000-145600000	MMAA
4:145680000-145685000	C4orf51
4:145935000-145940000	ZNF827
4:146175000-146180000	LSM6
4:146210000-146215000	REELD1
4:146520000-146525000	SLC10A7
4:146635000-146640000	POU4F2
4:146945000-146950000	TTC29
4:147480000-147485000	EDNRA
4:147615000-147620000	TMEM184C
4:147680000-147685000	PRMT9
4:147730000-147735000	ARHGAP10
4:148440000-148445000	NR3C2
4:149895000-149900000	IQCM
4:150075000-150080000	DCLK2
4:150580000-150585000	MAB21L2
4:151015000-151020000	LRBA
4:151095000-151100000	RPS3A
4:151275000-151280000	PRSS48
4:151325000-151330000	SH3D19
4:151405000-151410000	FAM160A1
4:151760000-151765000	GATB
4:152535000-152540000	FBXW7
4:152680000-152685000	TMEM154
4:152775000-152780000	TIGD4
4:152775000-152780000	ARFIP1
4:152935000-152940000	FHDC1
4:153150000-153155000	TRIM2
4:153150000-153155000	RP11-559F19.4
4:153340000-153345000	MND1
4:153465000-153470000	TMEM131L
4:153680000-153685000	TLR2
4:153760000-153765000	RNF175
4:153785000-153790000	SFRP2
4:154490000-154495000	DCHS2
4:154550000-154555000	PLRG1
4:154560000-154565000	FGB
4:154590000-154595000	FGA
4:154610000-154615000	FGG
4:154625000-154630000	LRAT
4:154780000-154785000	RBM46
4:155205000-155210000	NPY2R
4:155375000-155380000	MAP9
4:155665000-155670000	GUCY1A1
4:155755000-155760000	GUCY1B1
4:155850000-155855000	TDO2
4:155865000-155870000	ASIC5
4:155950000-155955000	CTSO
4:156970000-156975000	PDGFC
4:157075000-157080000	GLRB
4:157200000-157205000	GRIA2
4:158170000-158175000	GASK1B
4:158200000-158205000	TMEM144
4:158315000-158320000	RXFP1
4:158670000-158675000	C4orf46
4:158670000-158675000	ETFDH
4:158720000-158725000	PPID
4:158765000-158770000	FNIP2
4:159035000-159040000	C4orf45
4:159100000-159105000	RAPGEF2
4:162160000-162165000	FSTL5
4:163165000-163170000	NAF1
4:163340000-163345000	NPY1R
4:163340000-163345000	NPY5R
4:163470000-163475000	TKTL2
4:163490000-163495000	TMA16
4:164380000-164385000	MARCHF1
4:164750000-164755000	SMIM31
4:164875000-164880000	APELA
4:164975000-164980000	TRIM61
4:165015000-165020000	TRIM60
4:165050000-165055000	TRIM75P
4:165205000-165210000	TMEM192
4:165205000-165210000	KLHL2
4:165275000-165280000	GK3P
4:165325000-165330000	MSMO1
4:165360000-165365000	CPE
4:165870000-165875000	TLL1
4:167230000-167235000	SPOCK3
4:168090000-168095000	ANXA10
4:168315000-168320000	DDX60
4:168495000-168500000	PALLD
4:168535000-168540000	DDX60L
4:169010000-169015000	CBR4
4:169270000-169275000	SH3RF1
4:169610000-169615000	NEK1
4:169610000-169615000	CLCN3
4:169755000-169760000	HPF1
4:170030000-170035000	MFAP3L
4:170090000-170095000	AADAT
4:171810000-171815000	GALNTL6
4:173165000-173170000	GALNT7
4:173330000-173335000	HMGB2
4:173365000-173370000	SAP30
4:173405000-173410000	SCRG1
4:173530000-173535000	HAND2
4:174280000-174285000	FBXO8
4:174280000-174285000	CEP44
4:174520000-174525000	HPGD
4:174825000-174830000	GLRA3
4:174825000-174830000	ADAM29
4:176000000-176005000	GPM6A
4:176065000-176070000	WDR17
4:176195000-176200000	SPATA4
4:176275000-176280000	ASB5
4:176315000-176320000	SPCS3
4:176790000-176795000	VEGFC
4:177305000-177310000	NEIL3
4:177440000-177445000	AGA
4:182140000-182145000	TENM3
4:182915000-182920000	DCTD
4:183095000-183100000	WWC2
4:183320000-183325000	CLDN22
4:183320000-183325000	CLDN24
4:183440000-183445000	CDKN2AIP
4:183505000-183510000	ING2
4:183655000-183660000	RWDD4
4:183655000-183660000	TRAPPC11
4:183795000-183800000	STOX2
4:184220000-184225000	ENPP6
4:184470000-184475000	IRF2
4:184645000-184650000	CASP3
4:184645000-184650000	PRIMPOL
4:184730000-184735000	CENPU
4:184825000-184830000	ACSL1
4:185015000-185020000	HELT
4:185140000-185145000	SLC25A4
4:185200000-185205000	SNX25
4:185205000-185210000	CFAP97
4:185395000-185400000	LRP2BP
4:185395000-185400000	ANKRD37
4:185425000-185430000	UFSP2
4:185425000-185430000	C4orf47
4:185470000-185475000	CCDC110
4:185535000-185540000	PDLIM3
4:185955000-185960000	SORBS2
4:186065000-186070000	TLR3
4:186100000-186105000	FAM149A
4:186190000-186195000	CYP4V2
4:186205000-186210000	KLKB1
4:186265000-186270000	F11
4:186555000-186560000	RP11-215A19.2
4:186555000-186560000	MTNR1A
4:186725000-186730000	FAT1
4:187995000-188000000	ZFP42
4:188105000-188110000	TRIML2
4:188135000-188140000	TRIML1
4:189940000-189945000	FRG1
4:190025000-190030000	FRG2
4:190170000-190175000	DUX4
5:90000-95000	PLEKHG4B
5:190000-195000	LRRC14B
5:215000-220000	CCDC127
5:215000-220000	SDHA
5:215000-220000	CTD-2546F11.1
5:270000-275000	PDCD6
5:270000-275000	PDCD6-AHRR
5:320000-325000	AHRR
5:440000-445000	EXOC3
5:520000-525000	SLC9A3
5:610000-615000	CEP72
5:690000-695000	TPPP
5:780000-785000	ZDHHC11B
5:850000-855000	ZDHHC11
5:890000-895000	BRD9
5:890000-895000	TRIP13
5:1005000-1010000	NKD2
5:1110000-1115000	SLC12A7
5:1200000-1205000	SLC6A19
5:1225000-1230000	SLC6A18
5:1295000-1300000	TERT
5:1345000-1350000	CLPTM1L
5:1445000-1450000	SLC6A3
5:1520000-1525000	LPCAT1
5:1800000-1805000	MRPL36
5:1800000-1805000	NDUFS6
5:1885000-1890000	IRX4
5:2750000-2755000	IRX2
5:3595000-3600000	IRX1
5:5140000-5145000	ADAMTS16
5:5420000-5425000	ICE1
5:6375000-6380000	MED10
5:6445000-6450000	UBE2QL1
5:6630000-6635000	NSUN2
5:6630000-6635000	SRD5A1
5:6710000-6715000	TENT4A
5:7395000-7400000	ADCY2
5:7850000-7855000	C5orf49
5:7850000-7855000	MTRR
5:7865000-7870000	FASTKD3
5:9545000-9550000	SEMA5A
5:9710000-9715000	TAS2R1
5:10245000-10250000	ATPSCKMT
5:10245000-10250000	CCT5
5:10305000-10310000	CMBL
5:10350000-10355000	MARCHF6
5:10440000-10445000	ROPN1L
5:10560000-10565000	ANKRD33B
5:10760000-10765000	DAP
5:11900000-11905000	CTNND2
5:14010000-14015000	DNAH5
5:14140000-14145000	TRIO
5:14580000-14585000	OTULINL
5:14660000-14665000	OTULIN
5:14870000-14875000	ANKH
5:15500000-15505000	FBXL7
5:16180000-16185000	MARCHF11
5:16465000-16470000	ZNF622
5:16615000-16620000	RETREG1
5:16935000-16940000	MYO10
5:17065000-17070000	BASP1
5:17440000-17445000	LINC02218
5:17490000-17495000	H3Y2
5:17495000-17500000	TAF11L2
5:17515000-17520000	TAF11L3
5:17520000-17525000	TAF11L4
5:17525000-17530000	TAF11L5
5:17525000-17530000	TAF11L6
5:17585000-17590000	TAF11L7
5:17590000-17595000	TAF11L8
5:17590000-17595000	TAF11L9
5:17595000-17600000	TAF11L10
5:17600000-17605000	TAF11L11
5:17610000-17615000	TAF11L12
5:17630000-17635000	TAF11L13
5:17630000-17635000	TAF11L14
5:17655000-17660000	H3Y1
5:20575000-20580000	CDH18
5:22850000-22855000	CDH12
5:23440000-23445000	PRDM9
5:24640000-24645000	CDH10
5:27120000-27125000	CDH9
5:31190000-31195000	CDH6
5:31530000-31535000	DROSHA
5:31530000-31535000	C5orf22
5:31635000-31640000	PDZD2
5:32170000-32175000	GOLPH3
5:32310000-32315000	MTMR12
5:32440000-32445000	ZFR
5:32530000-32535000	SUB1
5:32685000-32690000	NPR3
5:33440000-33445000	TARS1
5:33890000-33895000	ADAMTS12
5:33935000-33940000	RXFP3
5:33980000-33985000	SLC45A2
5:34005000-34010000	AMACR
5:34040000-34045000	C1QTNF3
5:34120000-34125000	C1QTNF3-AMACR
5:34655000-34660000	RAI14
5:34835000-34840000	TTC23L
5:34915000-34920000	RAD1
5:34915000-34920000	BRIX1
5:34925000-34930000	DNAJC21
5:35045000-35050000	AGXT2
5:35230000-35235000	PRLR
5:35615000-35620000	SPEF2
5:35850000-35855000	IL7R
5:35935000-35940000	CAPSL
5:36000000-36005000	UGT3A1
5:36070000-36075000	UGT3A2
5:36150000-36155000	LMBRD2
5:36150000-36155000	SKP2
5:36240000-36245000	NADK2
5:36300000-36305000	RANBP3L
5:36595000-36600000	SLC1A3
5:36875000-36880000	NIPBL
5:37245000-37250000	CPLANE1
5:37370000-37375000	NUP155
5:37375000-37380000	WDR70
5:37840000-37845000	GDNF
5:38255000-38260000	EGFLAM
5:38605000-38610000	LIFR
5:38845000-38850000	OSMR
5:39070000-39075000	RICTOR
5:39270000-39275000	FYB1
5:39420000-39425000	C9
5:39460000-39465000	DAB2
5:40675000-40680000	PTGER4
5:40755000-40760000	TTC33
5:40795000-40800000	PRKAA1
5:40835000-40840000	RPL37
5:40840000-40845000	CARD6
5:40905000-40910000	C7
5:41070000-41075000	MROH2B
5:41260000-41265000	C6
5:41510000-41515000	PLCXD3
5:41870000-41875000	OXCT1
5:41900000-41905000	C5orf51
5:41925000-41930000	FBXO4
5:42420000-42425000	GHR
5:42755000-42760000	CCDC152
5:42885000-42890000	SELENOP
5:43040000-43045000	ANXA2R
5:43065000-43070000	ZNF131
5:43190000-43195000	NIM1K
5:43310000-43315000	HMGCS1
5:43410000-43415000	CCL28
5:43480000-43485000	TMEM267
5:43515000-43520000	C5orf34
5:43555000-43560000	PAIP1
5:43600000-43605000	NNT
5:44385000-44390000	FGF10
5:44805000-44810000	MRPS30
5:45695000-45700000	HCN1
5:50440000-50445000	EMB
5:50665000-50670000	PARP8
5:51380000-51385000	ISL1
5:52785000-52790000	PELO
5:52785000-52790000	ITGA1
5:52985000-52990000	ITGA2
5:53110000-53115000	MOCS2
5:53480000-53485000	FST
5:53560000-53565000	NDUFS4
5:54310000-54315000	ARL15
5:54455000-54460000	HSPB3
5:54515000-54520000	SNX18
5:55020000-55025000	ESM1
5:55020000-55025000	GZMK
5:55100000-55105000	GZMA
5:55160000-55165000	GPX8
5:55170000-55175000	CDC20B
5:55225000-55230000	MCIDAS
5:55230000-55235000	CCNO
5:55305000-55310000	DHX29
5:55305000-55310000	MTREX
5:55530000-55535000	PLPP1
5:55735000-55740000	DDX4
5:55770000-55775000	SLC38A9
5:55850000-55855000	IL31RA
5:55995000-56000000	IL6ST
5:56230000-56235000	ANKRD55
5:56815000-56820000	MAP3K1
5:56905000-56910000	SETD9
5:56970000-56975000	MIER3
5:57170000-57175000	GPBP1
5:57480000-57485000	ACTBL2
5:58460000-58465000	PLK2
5:58490000-58495000	GAPT
5:58580000-58585000	RAB3C
5:60520000-60525000	PDE4D
5:60700000-60705000	DEPDC1B
5:60840000-60845000	ELOVL7
5:60945000-60950000	ERCC8
5:60945000-60950000	NDUFAF2
5:61160000-61165000	SMIM15
5:61330000-61335000	ZSWIM6
5:62305000-62310000	KIF2A
5:62305000-62310000	RP11-95I19.4
5:62400000-62405000	DIMT1
5:62400000-62405000	IPO11
5:62575000-62580000	LRRC70
5:63960000-63965000	HTR1A
5:64165000-64170000	RNF180
5:64505000-64510000	RGS7BP
5:64690000-64695000	SHISAL2B
5:64765000-64770000	SREK1IP1
5:64765000-64770000	CWC27
5:65480000-65485000	ADAMTS6
5:65560000-65565000	CENPK
5:65560000-65565000	PPWD1
5:65625000-65630000	TRIM23
5:65625000-65630000	TRAPPC13
5:65625000-65630000	SHLD3
5:65720000-65725000	SGTB
5:65720000-65725000	NLN
5:65925000-65930000	ERBIN
5:66135000-66140000	SREK1
5:66595000-66600000	MAST4
5:67195000-67200000	CD180
5:68215000-68220000	PIK3R1
5:69090000-69095000	SLC30A5
5:69165000-69170000	CCNB1
5:69185000-69190000	CENPH
5:69215000-69220000	MRPS36
5:69230000-69235000	CDK7
5:69330000-69335000	CCDC125
5:69365000-69370000	RAD17
5:69370000-69375000	AK6
5:69370000-69375000	TAF9
5:69415000-69420000	MARVELD2
5:69490000-69495000	OCLN
5:69560000-69565000	GTF2H2C
5:70025000-70030000	SERF1B
5:70045000-70050000	SMN2
5:70900000-70905000	SERF1A
5:70925000-70930000	SMN1
5:71025000-71030000	NAIP
5:71065000-71070000	GTF2H2
5:71455000-71460000	BDP1
5:71575000-71580000	MCCC2
5:71715000-71720000	CARTPT
5:72105000-72110000	MAP1B
5:72320000-72325000	MRPS27
5:72320000-72325000	PTCD2
5:72505000-72510000	ZNF366
5:72815000-72820000	TNPO1
5:72955000-72960000	FCHO2
5:73120000-73125000	TMEM171
5:73170000-73175000	TMEM174
5:73445000-73450000	FOXD1
5:73495000-73500000	BTF3
5:73565000-73570000	ANKRA2
5:73565000-73570000	UTP15
5:73625000-73630000	ARHGEF28
5:74640000-74645000	ENC1
5:74640000-74645000	HEXB
5:74765000-74770000	GFM2
5:74765000-74770000	NSA2
5:74865000-74870000	FAM169A
5:75050000-75055000	GCNT4
5:75235000-75240000	ANKRD31
5:75335000-75340000	HMGCR
5:75510000-75515000	CERT1
5:75510000-75515000	POLK
5:75610000-75615000	ANKDD1B
5:75715000-75720000	POC5
5:76080000-76085000	SV2C
5:76400000-76405000	IQGAP2
5:76620000-76625000	F2RL2
5:76715000-76720000	F2R
5:76815000-76820000	F2RL1
5:76850000-76855000	S100Z
5:76950000-76955000	CRHBP
5:77025000-77030000	AGGF1
5:77030000-77035000	CTC-564N23.6
5:77085000-77090000	ZBED3
5:77085000-77090000	CTC-337B15.3
5:77210000-77215000	PDE8B
5:77620000-77625000	WDR41
5:77635000-77640000	OTP
5:77865000-77870000	TBCA
5:78290000-78295000	AP3B1
5:78360000-78365000	SCAMP1
5:78770000-78775000	LHFPL2
5:78985000-78990000	ARSB
5:79065000-79070000	BHMT2
5:79110000-79115000	BHMT
5:79235000-79240000	DMGDH
5:79235000-79240000	JMY
5:79510000-79515000	HOMER1
5:79610000-79615000	TENT2
5:79685000-79690000	CMYA5
5:79990000-79995000	MTX3
5:79990000-79995000	THBS4
5:80255000-80260000	SERINC5
5:80315000-80320000	SPZ1
5:80405000-80410000	ZFYVE16
5:80485000-80490000	FAM151B
5:80570000-80575000	ANKRD34B
5:80650000-80655000	DHFR
5:80650000-80655000	MSH3
5:80960000-80965000	RASGRF2
5:81230000-81235000	CKMT2
5:81300000-81305000	ZCCHC9
5:81390000-81395000	ACOT12
5:81750000-81755000	SSBP2
5:81970000-81975000	ATG10
5:82275000-82280000	RPS23
5:83075000-83080000	TMEM167A
5:83075000-83080000	XRCC4
5:83470000-83475000	VCAN
5:83720000-83725000	HAPLN1
5:84380000-84385000	EDIL3
5:86615000-86620000	COX7C
5:87265000-87270000	RASA1
5:87410000-87415000	CCNH
5:88265000-88270000	TMEM161B
5:88900000-88905000	MEF2C
5:90405000-90410000	CETN3
5:90470000-90475000	POLR3G
5:90470000-90475000	MBLAC2
5:90525000-90530000	LYSMD3
5:90525000-90530000	ADGRV1
5:91380000-91385000	ARRDC3
5:93580000-93585000	NR2F1
5:93740000-93745000	POU5F2
5:94110000-94115000	FAM172A
5:94615000-94620000	KIAA0825
5:94615000-94620000	SLF1
5:95280000-95285000	MCTP1
5:95390000-95395000	FAM81B
5:95550000-95555000	TTC37
5:95555000-95560000	ARSK
5:95620000-95625000	GPR150
5:95645000-95650000	RFESD
5:95695000-95700000	SPATA9
5:95710000-95715000	RHOBTB3
5:95820000-95825000	GLRX
5:95960000-95965000	ELL2
5:96430000-96435000	PCSK1
5:96525000-96530000	CAST
5:96805000-96810000	ERAP1
5:96875000-96880000	ERAP2
5:96935000-96940000	LNPEP
5:97140000-97145000	LIX1
5:97180000-97185000	RIOK2
5:98765000-98770000	RGMB
5:98925000-98930000	CHD1
5:100535000-100540000	FAM174A
5:100900000-100905000	ST8SIA4
5:102295000-102300000	SLCO4C1
5:102495000-102500000	SLCO6A1
5:102750000-102755000	PAM
5:103120000-103125000	GIN1
5:103120000-103125000	PPIP5K2
5:103255000-103260000	MACIR
5:103560000-103565000	NUDT12
5:107670000-107675000	EFNA5
5:108380000-108385000	FBXL17
5:108745000-108750000	FER
5:109405000-109410000	PJA2
5:109685000-109690000	MAN2A1
5:110735000-110740000	TMEM232
5:110735000-110740000	SLC25A46
5:111070000-111075000	TSLP
5:111090000-111095000	WDR36
5:111220000-111225000	CAMK4
5:111510000-111515000	STARD4
5:111995000-112000000	NREP
5:112415000-112420000	EPB41L4A
5:112705000-112710000	APC
5:112825000-112830000	CTC-554D6.1
5:112860000-112865000	SRP19
5:112920000-112925000	REEP5
5:112975000-112980000	DCP2
5:113430000-113435000	TSSK1B
5:113485000-113490000	MCC
5:113510000-113515000	YTHDC2
5:114055000-114060000	KCNN2
5:115180000-115185000	TRIM36
5:115260000-115265000	PGGT1B
5:115295000-115300000	CCDC112
5:115540000-115545000	FEM1C
5:115600000-115605000	TICAM2
5:115625000-115630000	TMED7-TICAM2
5:115630000-115635000	TMED7
5:115815000-115820000	CDO1
5:115840000-115845000	ATG12
5:115840000-115845000	AP3S1
5:115960000-115965000	LVRN
5:116030000-116035000	ARL14EPL
5:116085000-116090000	COMMD10
5:116570000-116575000	SEMA6A
5:118985000-118990000	DTWD2
5:119035000-119040000	DMXL1
5:119265000-119270000	TNFAIP8
5:119450000-119455000	HSD17B4
5:119625000-119630000	FAM170A
5:120460000-120465000	PRR16
5:121850000-121855000	FTMT
5:121960000-121965000	SRFBP1
5:122075000-122080000	LOX
5:122125000-122130000	ZNF474
5:122125000-122130000	CTC-441N14.4
5:122310000-122315000	SNCAIP
5:122775000-122780000	SNX2
5:122840000-122845000	SNX24
5:123035000-123040000	PPIC
5:123085000-123090000	PRDM6
5:123420000-123425000	CEP120
5:123510000-123515000	CSNK1G3
5:124745000-124750000	ZNF608
5:126360000-126365000	GRAMD2B
5:126595000-126600000	ALDH7A1
5:126600000-126605000	PHAX
5:126630000-126635000	TEX43
5:126775000-126780000	LMNB1
5:127030000-127035000	MARCHF3
5:127070000-127075000	C5orf63
5:127290000-127295000	MEGF10
5:127515000-127520000	PRRC1
5:127645000-127650000	CTXN3
5:127700000-127705000	CCDC192
5:128080000-128085000	SLC12A2
5:128535000-128540000	SLC27A6
5:128655000-128660000	FBN2
5:129090000-129095000	ISOC1
5:129460000-129465000	ADAMTS19
5:129745000-129750000	MINAR2
5:129900000-129905000	CHSY3
5:131170000-131175000	LYRM7
5:131220000-131225000	HINT1
5:131245000-131250000	CDC42SE2
5:131635000-131640000	RAPGEF6
5:131795000-131800000	CTC-432M15.3
5:131795000-131800000	FNIP1
5:131945000-131950000	MEIKIN
5:132010000-132015000	CTB-127M13.1
5:132010000-132015000	ACSL6
5:132060000-132065000	IL3
5:132070000-132075000	CSF2
5:132255000-132260000	PDLIM4
5:132290000-132295000	SLC22A4
5:132295000-132300000	P4HA2
5:132365000-132370000	SLC22A5
5:132410000-132415000	AC116366.7
5:132505000-132510000	IRF1
5:132555000-132560000	IL5
5:132555000-132560000	RAD50
5:132655000-132660000	IL13
5:132670000-132675000	IL4
5:132735000-132740000	KIF3A
5:132745000-132750000	CCNI2
5:132805000-132810000	SEPTIN8
